"date","avg_temp","sd_temp","n_cells","se_temp","scenario"
2023-11-16,12.3457900954456,1.3452243654574,82,0.148555179590528,"sst_SSP1_2.6"
2023-12-16,10.9422645568848,1.03930431252759,82,0.114771961288591,"sst_SSP1_2.6"
2024-01-16,9.92903040385828,1.03448548541647,82,0.114239810856819,"sst_SSP1_2.6"
2024-02-16,8.96099736050862,1.0589551617264,82,0.116942034554283,"sst_SSP1_2.6"
2024-03-16,8.07340128247331,1.15537565763133,82,0.127589897061957,"sst_SSP1_2.6"
2024-04-16,8.59262563833376,1.19122928053242,82,0.131549267354236,"sst_SSP1_2.6"
2024-05-16,10.9814359618396,0.698905454275279,82,0.0771811958976529,"sst_SSP1_2.6"
2024-06-16,13.5956659317017,0.876483549771751,82,0.0967914159807931,"sst_SSP1_2.6"
2024-07-16,15.7089213161934,1.18443733090444,82,0.130799221991795,"sst_SSP1_2.6"
2024-08-16,17.4460041057773,1.32898980957155,82,0.146762372808906,"sst_SSP1_2.6"
2024-09-16,16.3000854340995,1.5206451643166,82,0.167927166113818,"sst_SSP1_2.6"
2024-10-16,14.8156284239234,1.38742985711081,82,0.153215996442553,"sst_SSP1_2.6"
2024-11-16,12.877554120087,1.14955541172965,82,0.126947158424904,"sst_SSP1_2.6"
2024-12-16,10.9387974564622,0.960690286306344,82,0.106090494402091,"sst_SSP1_2.6"
2025-01-16,10.0438708241393,1.06034613536054,82,0.117095641895431,"sst_SSP1_2.6"
2025-02-16,9.28353851597484,1.14340404818111,82,0.126267853960798,"sst_SSP1_2.6"
2025-03-16,8.52820535985435,1.14621389972935,82,0.126578150155313,"sst_SSP1_2.6"
2025-04-16,8.64206062875143,1.07068356727626,82,0.118237220277578,"sst_SSP1_2.6"
2025-05-16,10.3234735581933,0.866807726651138,82,0.0957229000675536,"sst_SSP1_2.6"
2025-06-16,13.1848614564756,0.867047383900578,82,0.0957493657833441,"sst_SSP1_2.6"
2025-07-16,16.2652971802688,0.973181702319556,82,0.107469940535266,"sst_SSP1_2.6"
2025-08-16,16.1770511720239,1.04970606444876,82,0.115920642627098,"sst_SSP1_2.6"
2025-09-16,15.4629945289798,1.33740462280415,82,0.147691633475817,"sst_SSP1_2.6"
2025-10-16,13.8840753857682,1.24249163686381,82,0.137210247594104,"sst_SSP1_2.6"
2025-11-16,12.4108543047091,1.02757462452313,82,0.113476633941877,"sst_SSP1_2.6"
2025-12-16,10.5796390568338,1.0684689621322,82,0.117992658051866,"sst_SSP1_2.6"
2026-01-16,9.17203342914581,1.25217684055237,82,0.138279799417778,"sst_SSP1_2.6"
2026-02-16,8.37045349725863,1.38770322782399,82,0.153246185187593,"sst_SSP1_2.6"
2026-03-16,8.50523134847967,1.27787748159116,82,0.141117960428794,"sst_SSP1_2.6"
2026-04-16,9.0479601970533,1.17243712253495,82,0.129474020668337,"sst_SSP1_2.6"
2026-05-16,10.0375891662225,0.993270051326684,82,0.109688327572447,"sst_SSP1_2.6"
2026-06-16,12.8757561823217,0.870207633827303,82,0.0960983570055304,"sst_SSP1_2.6"
2026-07-16,15.6574213272188,1.43643528696327,82,0.158627740847114,"sst_SSP1_2.6"
2026-08-16,15.9108683888505,1.58166463667493,82,0.17466563956663,"sst_SSP1_2.6"
2026-09-16,15.3613389526925,1.6145813235897,82,0.178300679535956,"sst_SSP1_2.6"
2026-10-16,13.8360471318408,1.47595498190381,82,0.162991961069411,"sst_SSP1_2.6"
2026-11-16,12.3720971491279,1.39592582560567,82,0.154154219208924,"sst_SSP1_2.6"
2026-12-16,11.2981133635451,1.00376748564643,82,0.110847575264247,"sst_SSP1_2.6"
2027-01-16,10.3698164195549,1.05997784696791,82,0.117054971246197,"sst_SSP1_2.6"
2027-02-16,9.4306783647072,1.22231713773093,82,0.134982346867065,"sst_SSP1_2.6"
2027-03-16,8.36748190914712,1.43013789947754,82,0.15793231073678,"sst_SSP1_2.6"
2027-04-16,8.82080560777245,1.14313783142864,82,0.126238455238556,"sst_SSP1_2.6"
2027-05-16,10.3287526747076,0.825526792939054,82,0.0911641835599335,"sst_SSP1_2.6"
2027-06-16,13.6595723687149,0.820454121393072,82,0.0906040006998344,"sst_SSP1_2.6"
2027-07-16,16.0717407610358,1.31890539270153,82,0.145648735264374,"sst_SSP1_2.6"
2027-08-16,15.8662064424375,1.49652567255225,82,0.165263613830131,"sst_SSP1_2.6"
2027-09-16,15.3648865629987,1.90056204637166,82,0.209881967180756,"sst_SSP1_2.6"
2027-10-16,13.6179211837489,1.73567903340754,82,0.191673684435309,"sst_SSP1_2.6"
2027-11-16,11.9467679407538,1.33161973624476,82,0.147052799624894,"sst_SSP1_2.6"
2027-12-16,10.5935748844612,1.11472048430119,82,0.123100284228272,"sst_SSP1_2.6"
2028-01-16,9.23605351913266,1.26972538515308,82,0.140217711978427,"sst_SSP1_2.6"
2028-02-16,7.99680453102763,1.68482817147687,82,0.186058146150084,"sst_SSP1_2.6"
2028-03-16,7.5408950666102,1.84471120959452,82,0.203714274042899,"sst_SSP1_2.6"
2028-04-16,8.05229105600497,1.52520525640821,82,0.168430744042537,"sst_SSP1_2.6"
2028-05-16,10.3847806686308,1.08950007875588,82,0.120315156355677,"sst_SSP1_2.6"
2028-06-16,13.4106911798803,0.935196784343627,82,0.103275208075356,"sst_SSP1_2.6"
2028-07-16,15.3325507466386,1.00006852359681,82,0.110439093240215,"sst_SSP1_2.6"
2028-08-16,16.4012408663587,1.14603898915556,82,0.126558834513723,"sst_SSP1_2.6"
2028-09-16,15.9078712172625,1.2864180899039,82,0.142061112838377,"sst_SSP1_2.6"
2028-10-16,13.9487242000859,1.35744061982908,82,0.149904239203711,"sst_SSP1_2.6"
2028-11-16,11.9527474729026,0.965250636480394,82,0.106594100831247,"sst_SSP1_2.6"
2028-12-16,10.4018666686081,0.906552336714288,82,0.100111958010077,"sst_SSP1_2.6"
2029-01-16,9.48246751762018,1.0950665873381,82,0.12092987439332,"sst_SSP1_2.6"
2029-02-16,8.50174652076349,1.35544584219322,82,0.149683952865202,"sst_SSP1_2.6"
2029-03-16,8.74624931812286,1.3357495793047,82,0.147508864496452,"sst_SSP1_2.6"
